Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
10/1/2022,"$ 50,000 No Limit Hold'em - Poker Masters #10PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",6th,"$ 92,500",92500,6,50000,142906976
10/8/2022,"$ 25,000 No Limit Hold'em - Bellagio High Roller #1 (Event #2)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",2nd,"$ 6,468",6468,2,25000,142913444
12/20/2022,"$ 10,000 No Limit Hold'em - Aria High Roller #36PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",4th,"$ 42,900",42900,4,10000,142956344
12/21/2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",15th,"$ 38,413",38413,15,,142994757
3/11/2023,"$ 50,000 No Limit Short Deck Hold'em - Ante Only (Event #12)Triton Poker Super High Roller Series Vietnam, Hoi An",6th,"$ 140,000",140000,6,50000,143134757
3/12/2023,"$ 100,000 No Limit Short Deck Hold'em - Main Event (Event #13)Triton Poker Super High Roller Series Vietnam, Hoi An",5th,"$ 240,925",240925,5,100000,143375682
4/29/2023,"€ 100,000 No Limit Hold'em - EPT Super High Roller (Event 16)European Poker Tour - EPT Monte Carlo, Monte Carlo",2nd,"$ 1,112,687",1112687,2,100000,144488369
5/4/2023,"€ 25,000 No Limit Hold'em - EPT High Roller (Event 42)European Poker Tour - EPT Monte Carlo, Monte Carlo",1st,"$ 19,622",19622,1,25000,144507991
5/16/2023,"$ 75,000 No Limit Hold'em - 8-Handed (Event #8)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 1,200,000",1200000,2,75000,145707991
5/23/2023,"$ 25,000 No Limit Short Deck Hold'em - Ante Only (Event #15)Triton Poker Super High Roller Series Cyprus, Kyrenia",5th,"$ 550,412",550412,5,25000,146258403
5/24/2023,"$ 50,000 No Limit Short Deck Hold'em - Main Event (Event #16)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 515,000",515000,2,50000,146773403
6/14/2023,"$ 7,000 + 3,000 No Limit Hold'em - Secret Bounty (Bracelet Event 35)54th World Series of Poker - WSOP 2023, Las Vegas",54th,"$ 13,478",13478,54,7000,146786881
7/16/2023,"$ 10,000 No Limit Hold'em - Short Deck (Bracelet Event 93)54th World Series of Poker - WSOP 2023, Las Vegas",13th,"$ 19,636",19636,13,10000,146806517
